,tweet
1692, ऐतिहासिक काळाराम मंदिर प्रवेश सत्याग्रहाच्या व्या वर्धापन दिनी या मानवमुक्तिच्या क्रांतिकारी लढ्याला विनम्र अभिवादन 
1693, रंग विकासाचे रंग समृद्धीचे रंग तळागाळाचे परिवर्तनातून झालेल्या परिवर्तनाचे धुलीवंदनाच्या हार्दिक शुभेच्छा 
1694, प्रधानमंत्री उज्वला योजना देशात कोटी महिलांना मिळाली गॅसजोडणी जिल्हे गॅसजोडणी महाराष्ट्रात महिलांना मिळाली गॅसजोडणी 
1695, ज्यांनी अनेक वर्ष अनेक सरकारे पाहिली ते जुने जानतेही म्हणतात फिर एक बार मोदी सरकार 
1696, आज वातानुकूलित गाडीतून प्रवास न करता मुंबई उपनगरीय रेल्वेने छत्रपती शिवाजी महाराज टर्मिनस ते डोंबिवली असा प्रवास केला मुंबईच्या जीवनवाहिनीतला हा प्रवास माझ्यासाठी अतिशय खास ठरला यानिमित्तानं सहप्रवासी मुंबईकरांशी संवाद साधला आणि रेल्वे वाहतुकीशी संबंधित समस्या जाणून घेतल्या 
1697, शासनाच्या गोपीनाथ मुंडे शेतकरी अपघात विमा योजनेच्या मदतीमुळे धुळे जिल्ह्यातील दहिवड गावातील शेतकऱ्याचा मुलगा सचिन बागुल झाला डॉक्टर नामुमकिन अब मुमकिन है पूर्वीपेक्षा अधिक पूर्वीपेक्षा उत्तम 
1698, भारताचे माजी पंतप्रधान भारतरत्न स्व राजीवजी गांधी यांच्या वी जयंतीनिमित्त मुंबई येथील त्यांच्या प्रतिमेला सहकार्यांसोबत पुष्पांजली अर्पण करून अभिवादन केले 
1699, आमच्या दोन उमेदवारांच्या प्रचारासाठी मी इथे आलो आहे अत्यंत कमी वेळात सर्व खासदारांच्या मनात जागा करणारे आणि आयुष्यभर इथल्या शेतकऱ्यांसाठी झटणारे राजू शेट्टी मला अभिमान आहे की कोल्हापूरची जनता या नेतृत्वाच्या पाठिशी खंबीर उभी आहे 
1700, पवित्र रमजान महिन्याच्या नागरिकांना मनःपूर्वक शुभेच्छा या आठवडा अखेरीस सुरू होणाऱ्या रमजान महिन्यात मुस्लिम बांधवांनी मशीद किंवा सार्वजनिक ठिकाणी एकत्र न येता आपापल्या घरात थांबूनच नमाज तरावीह पठण इफ्तार धार्मिक प्रार्थना आदी धार्मिक कार्यक्रम पार पाडावेत असं आवाहन करतो 
1701, आज पुण्यातल्या वशाटोत्सवाला वसंतोत्सव नाही हजर राहिलो बहुजन समाजातली जबरदस्त उत्साही तरुण मुलं मुली पाहून मस्त वाटलं फॅसिझमविरुद्ध लढायला ही मुलं सज्ज आहेत लई भारी दोस्तानो 
1702, येत्या तारखेला होणाऱ्या निवडणुकीसाठी राष्ट्रवादी काँग्रेस पक्षाला साक्षात वरुणराजाने देखील आज आशीर्वाद दिले त्याच्या आशीर्वादाने सातारा जिल्हा महाराष्ट्रात चमत्कार करणार आणि याची सुरुवात तारखेपासून होणार याचा मला विश्वास आहे 
1703, याच मार्गाचा अंगीकार करीत पुढचे वर्ष सुद्धा आपण प्रामाणिक प्रयत्न करण्याची हमी देतो 
1704, पुणे शहरानं नेहमीच सामाजिक चळवळींचं नेतृत्व केलं असून समाजाला दिशा दाखवण्याचं काम केलं आहे  मंडळांनी महापालिका व पोलीस यंत्रणांना संपूर्ण सहकार्य करण्याचा घेतलेला निर्णय सुद्धा कौतुकास्पद आहे  राज्यातील अन्य सार्वजनिक गणेशोत्सव मंडळांनाही यातून प्रेरणा व प्रोत्साहन नक्कीच मिळेल 
1705, आयटी सेक्टरमध्येही महाराष्ट्र पुढे जात आहे आणखी पुढे जायला वाव आहे आज पुण्यात एकट्या मगरपट्ट्यात गेलात तर हजारांहून अधिक लोक आयटी सेक्टरमध्ये काम करत आहेत तंत्रज्ञानाचं हे नवीन जाळं उभारलं जातंय त्याकडे आपण लक्ष दिलं पाहिजे 
1706, लाळेची चाचणी करण्यास मान्यता मिळाल्यास अधिकाधिक संशयित रुग्णांची तपासणी वेगाने होऊन कोरोनाच्या संसर्गाच्या प्रसारावर नियंत्रण मिळवणे सोपे जाईल व परवानगी दिली असून राज्यात लाळेची चाचणीसाठी आवश्यक चाचणी किट्स खरेदी करण्याचा निर्णय घेण्यात आला 
1707, समाजातील वंचित घटकाला शिक्षणाच्या प्रवाहात आणण्याच्या क्रांतीचे प्रणेते थोर समाजसुधारक महात्मा ज्योतिबा फुले यांना स्मृतिदिनी विनम्र अभिवादन 
1708, जुलमी ब्रिटिश सरकार विरोधातील च्या उठावाचे अग्रणी थोर स्वातंत्र्यसेनानी मंगल पांडे यांना जयंती दिनी विनम्र अभिवादन 
1709, पायाभूत सुविधा शेतीतून मोठी गुंतवणूक होते आहे विदेशी गुंतवणूकही मोठ्या प्रमाणात येत आहे यातून निश्चितपणे रोजगारात वाढ होईल 
1710, यापुढच्या काळात संकट कसं वळण घेतं याचा नियमित आढावा घेऊन वेळोवेळी नवे पॅकज जाहीर होण्याची गरज आहे आत्ता जाहीर झालेले पॅकेज हे सुरुवातीच्या पहिल्या टप्प्यासाठी आहे असं मी मानतो प्रधानमंत्री अन्न कल्याण योजना आणि डीबीटी अशा दोन माध्यमांद्वारे जनतेला याचा लाभ मिळणार आहे 
1711, च्या नैसर्गिक आपत्तीत राज्य सरकारने एनडीआरएफचे निकष बाजुला घेऊन हेक्टरी हजार रूपये मदत दिली होती यावेळचा अभूतपवूर्व दुष्काळ असल्याने हेक्टरी हजार रू मदत द्यावी दुष्काळी भागात तातडीने जनावरांच्या दावणीला चारा उपलब्ध करून द्यावा 
1712, बारावीच्या सर्व परीक्षार्थींना हार्दिक शुभेच्छा यशस्वीभवः 
1713, जगाच्या इतिहासात शूर निर्णयक्षम आणि कणखर व्यक्तिमत्व म्हणून इंदिराजी करोडो लोकांच्या प्रेरणास्थान आहेत स्वतंत्र भारताच्या इतिहासातील पहिल्या पोलादी महिला इंदिरा गांधीजींना स्मृतिदिनानिमित्त विनम्र अभिवादन 
1714, येणारी हजारो वर्ष शिवछत्रपतींचे कार्य आपल्या सर्वांना प्रेरणा देत राहील जिजाऊ माॅं साहेबांनी शिवबांना हिंदवी स्वराज्याची स्थापना करण्याचा मंत्र दिला आणि महाराजांनी अठरापगड जातींना सोबत घेऊन स्वराज्याची निर्मिती केली 
1715, हमालांच्या कल्याणासाठी हिमालायाइतके कष्ट उपसणाऱ्या हिम्मतवाल्या बाबा आढावांना निरोगी दीर्घायू मिळावे म्हणून वाढदिवसानिमित्त माझ्या मनपूर्वक शुभेच्छा 
1716, गणेशोत्सवानिमित्त सर्वांना मनःपूर्वक शुभेच्छा समरसतेचे हे पर्व सर्वांना मंगलमय ठरो बळीराजाला सुख समृद्धी प्राप्त होवो अशी विघ्नहर्त्याला प्रार्थना केली 
1717, पुण्याचं सांस्कृतिक वैभव असलेला सार्वजनिक गणेशोत्सव समाजभान राखून यंदा साधेपणानं साजरा करण्याचा निर्णय पुण्यातील मानाच्या व आणखी काही प्रमुख गणेशोत्सव मंडळांनी घेतल्याबद्दल मी त्यांचं मनापासून अभिनंदन करतो आणि आभार मानतो 
1718, तरुण भारत कॉनक्लेव च्या माध्यमातून आज नागपुरकरांशी संवाद साधला नागपुरच्या आणि विदर्भाच्या सर्वांगीण विकासा करीता आम्ही वेगाने कार्य करीत आहोत ब्रॉडगेज मेट्रो मुळे या भागातील आर्थिक चित्र बदलेल विकास हे एकमेव ध्येय डोळ्या समोर ठेऊन आमचे सरकार काम करीत आहे 
1719, शिवसेना नेते महाराष्ट्राचे उद्योग मंत्री जी आपणास वाढदिवसाच्या मनःपूर्वक शुभेच्छा 
1720, महाराष्ट्राने गाठला विदेशी गुंतवणूकीचा उच्चांक पूर्वीपेक्षा अधिक पूर्वीपेक्षा उत्तम 
1721, गुंगा यशवंत पाटील मु पो रेठरे वारणा ता शाहूवाडी यांनी आपल्या मुलांच्या लग्नात जमलेला आहेर च्या लोकसभेच्या निवडणुकीसाठी खा राजू शेट्टी साहेब यांना सुपूर्द करताना 
1722, खा कपिल पाटील फाऊंडेशनने लाख रुपये तर श्री दयानंद चोरगे यांनी रुपये मुख्यमंत्री सहायता निधीसाठी दिले याबद्दल खूप आभार 
1723, राज्यसरकारने दोन दिवसापूर्वी म्हेस दुधाचे खरेदी दर रु ने वाढवून वरून रु केले 
1724, आज एकंदर प्रसंगाचं गांभीर्य लक्षात घेऊ उणं दुणं लक्षात न घेता स्वयंसेवी सार्वजनिक संस्था सेवाभावी संस्था या सगळ्यांनी मिळून पूरपरिस्थती आटोक्यात आणण्यासाठी मदतीला हातभार लावत महाराष्ट्राची परंपरा जपायला हवी 
1725, मात्र अजून यासंदर्भात गुन्हा दाखल झालेला नाही या संदर्भात तातडीने कारवाई व्हावी व उघड्यावर पडलेल्या या कुटुंबाला शासनाने मोठी आर्थिक मदत जाहीर करावी अशी आमची मागणी आहे 
1726, महाराष्ट्र प्रदेश युवक कॉंग्रेसच्या सर्व पद्दोन्नती झालेल्या व नव्याने नियुक्त झालेल्या पदाधिकाऱ्यांचे हार्दिक अभिनंदन मला खात्री आहे की आपण सर्वजण मिळून राज्यात पुन्हा एकदा सर्वसमावेशक पुरोगामी व प्रामाणिक सरकार आणण्यासाठी पुढील दिवस तन मन धनाने काम करूया 
1727, ना वेळेवर पाऊस आला ना डकवर्थ लुईस मदतीला आले शेवटी पाकिस्तानला भारताने नमवले मधील विराट विजयासाठी आणि तमाम देशवासियांचे अभिनंदन पाकिस्तानच्या सर्व योजनांवर पाणी फेरणारा आणि भारतीय गोलंदाजांचे विशेष अभिनंदन हम सात शून्य हैं 
1728, ही टीकेची नाही तर एकत्रितपणे काम करण्याची वेळ विधायक सूचना मात्र करीत राहणार साम मराठी ला दिलेली मुलाखत 
1729, मी व माझा परीवार वारकरी संप्रदयाला मानणारा आणि म्हणूनच मी उद्या सकाळी जेजुरी येथे माऊलींच्या पालखीत सहभागी होणार आहे 
1730, टकरावद मंदसौर मध्यप्रदेश येथे दोन वर्षापुर्वी पोलिसांच्या गोळीबारात शहीद झालेल्या शेतकर्यांना श्रध्दांजली सभा घेण्यात आली यावेळी देशातील विविध शेतकरी संघटनांचे प्रतिनिधी उपस्थिति होते 
1731, डहाणू विधानसभा क्षेत्रातील प्रत्येक शक्ती केंद्र प्रमुख आणि मतदान बुथ प्रमुखांनो चला सज्ज व्हा महायुती ला पुन्हा एकदा प्रचंड बहुमताने विजयी करून पंतप्रधान नरेंद्र मोदी जी यांच्या मार्गदर्शनाखाली महाराष्ट्राची विकासगाथा पुढे नेऊया पुन्हा आणूया आपले सरकार 
1732, बुद्धीची देवता असलेला गणपतीराया आपणा सर्वांना सुख समृद्धी व यशप्राप्तीसाठी आशीर्वाद देवो अशी त्याच्या चरणी प्रार्थना गणेशोत्सवाच्या सर्वांना हार्दिक शुभेच्छा गणपती बाप्पा मोरया 
1733, दोन कोटी शाळाबाह्य विद्यार्थी शिक्षणाच्या मुख्य प्रवाहात येणार नवीन शैक्षणिक धोरणावर मनोगत ऑगस्ट 
1734, मराठी पत्रकारितेचे जनक दर्पणकार बाळशास्त्री जांभेकर यांना जयंतीनिमित्त विनम्र अभिवादन लोकशाहीचा चौथा स्तंभ आपल्या लेखणीने समाज जागृतीचे मौलिक कार्य करणाऱ्या सर्व पत्रकार बंधू भगिनींना पत्रकार दिनाच्या मनःपूर्वक शुभेच्छा पत्रकारदिन 
1735, दैनिक आपलं महानगर आजपासून नव्या रुपात हार्दिक शुभेच्छा 
1736, विधानभवन आणि आमदार निवासच्या सेवेतील पात्र रोजंदारी कर्मचार्यांना अस्थायी आस्थापनेवर घेण्याचा प्रलंबित प्रश्न महाविकासआघाडी सरकारने निकाली काढला असून संबंधित शासननिर्णय निर्गमित झाल्यानंतर या कर्मचाऱ्यांनी माझी भेट घेतली मी देखील त्यांचे अभिनंदन करून शुभेच्छा दिल्या 
1737, दिवस स्वातंत्र्यसेनानींना अभिवादन करण्याचा दिवस शहिदांच्या बलिदानाचे स्मरण करण्याचा दिवस देशाप्रतीच्या कर्तव्यपूर्तीचा संकल्प करण्याचा स्वातंत्र्य दिनाच्या हार्दिक शुभेच्छा स्वतंत्रतादिवस स्वतंत्रता दिवस 
1738, माझे मित्र श्रीनिवास पाटील माजी राज्यपाल यांचे चिरंजीव सारंग पाटील यांनी हिंजवडी येथे सनबीम आयटी पार्क या संस्थेची भव्य आणि आकर्षक नूतन इमारत उभारून आपली एक स्वतंत्र ओळख निर्माण केली याचे मला मनापासून कौतुक वाटते 
1739, महाराष्ट्रातील राजकारणाला आदर्श मापदंड देणाऱ्या महाराष्ट्राचे पहिले मुख्यमंत्री यशवंतराव चव्हाण यांना जयंतीनिमित्त विनम्र अभिवादन 
1740, टँकरचे अधिकार तहसिलदारांना देऊन मागणी प्रमाणे तात्काळ टँकर सुरू करावेत विंधन विहीर फुटापर्यंत घेण्याची परवानगी द्यावी जायकवाडी धरणातील टी एम सी पाणी माजलगाव धरणात सोडण्यात यावे तात्काळ चारा डेपो सुरू करून दावणीला चारा द्यावा आदी मागण्या मी यावेळी केल्या 
1741, कृषी सारखी नवी संकल्पना राबवली जाणार असून त्यापैकी एक महत्त्वाची संस्था पुणे जिल्ह्यात तयार होणार आहे तरुणांचा कौशल्य विकास साधण्याच्या दृष्टीनं हा प्रकल्प महत्त्वाचा ठरेल हेरिटेज वास्तू व पर्यटन स्थळांचे सौंदर्य वाढवून पर्यटन विकासाच्या संधी निर्माण करण्याचा प्रयत्न असेल 
1742, राज्याचे माजी मुख्यमंत्री स्व विलासराव देशमुख यांना पुण्यतिथीनिमित्त भावपूर्ण आदरांजली महाराष्ट्राच्या जडणघडणीत त्यांचं योगदान मोठं आहे लोकांच्या भल्यासाठी चाकोरीबाहेरचे निर्णय घेतले हसतमुख दिलदार लोकप्रिय मुख्यमंत्री म्हणून ते सदैव स्मरणात राहतील त्यांना कृतज्ञतापूर्वक अभिवादन 
1743, शिवशाहीर बाबासाहेब पुरंदरे उद्योजक अनिलकुमार नाईक यांना पद्मविभूषण डॉ अशोक कुकडे यांना पद्मभूषण तसेच समाजसेवक स्मिता आणि रवींद्र कोल्हे आणि नाटककार वामन केंद्रे यांच्यासह महाराष्ट्रातील विविध क्षेत्रातील मान्यवरांना पद्म पुरस्कार जाहीर झाल्याबद्दल मनःपूर्वक अभिनंदन 
1744, माझा भाऊराय मला भेटला आता फिकीर नाही या राज्यात शिवस्वराज्य येणार 
1745, आमचे मार्गदर्शक लोकनेते मा श्री गोपीनाथजी मुंडे यांना जयंतिदिनी विनम्र अभिवादन 
1746, राज्य दूध महासंघाच्या माध्यमातून ही योजना राबवण्यात येणार असून यातून शेतकऱ्यांना आधार व दिलासा मिळेल यासाठी साधारणपणे कोटी रुपये निधीची गरज लागेल दरम्यान खरेदी केलेल्या दुधाची भूकटी करुन ती साठवली जाईल आणि नंतर त्याची ऑनलाईन विक्री केली जाईल 
1747, भारतीय स्त्री मुक्ती दिनाच्या समारंभाला त्यानंतर हजेरी लावली पुरोगामी महाराष्ट्राची मुहूर्तमेढ रोवण्यात महात्मा जोतिबा फुले आणि ज्ञानज्योती सावित्रीबाई फुले यांचे फार मोठे योगदान आहे या देशाला त्यांनी दिलेली ही फार मोठी देण आहे 
1748, राष्ट्रवादी काँग्रेस पक्षाच्या धडाडीच्या नेत्या खासदार यांना पुन्हा एकदा संसद रत्न या पुरस्काराने गौरवण्यात आले आहे याबद्दल आम्हाला त्यांचा अभिमान वाटतो सुप्रिया सुळे यांचे मनःपूर्वक अभिनंदन 
1749, बुलढाणा जिल्ह्यातील नांदुरा वरवट बकाल आणि खामगाव येथे आज तीन महाजनादेश संकल्प सभांना संबोधित केले विदर्भ हा काँग्रेस आणि राष्ट्रवादीच्या शासनकाळात प्रचंड दुर्लक्षिलेला भाग होता आज शेती पाणी इत्यादींच्या माध्यमातून या भागाचे चित्र बदलण्याचे काम राज्य सरकारने केले आहे 
1750, देशाच्या गौरवासाठी सामर्थ्यासाठी मा मोदीजींना पाठिंबा देणारेच खासदार निवडून देऊ या पूर्वीपेक्षा अधिक पूर्वीपेक्षा उत्तम 
1751, महाराष्ट्राच्या राजकारणातलं तळागाळातून वर आलेलं एक स्वच्छ व्यक्तिमत्व चे निष्ठावान नेते माझे स्नेही आर आर आबा पाटील यांची आज जयंती डान्सबार बंदी असो वा नक्षलग्रस्त भागातली पालकत्वाची जबाबदारी लोकप्रतिनिधी बनून त्यांनी कायम धाडसी निर्णय घेतले आबांना विनम्र अभिवादन 
1752, राज्यस्तरीय मान्सूनपूर्व तयारीची आढावा बैठक मा यांच्या अध्यक्षतेखाली सह्याद्री अतिथिगृहात झाली यावेळी पूर इमारत पडणे पाणी साचणे अशा घटना घडू नयेत यासाठी संबंधित यंत्रणांनी योग्य ते नियोजन करावे असे निर्देश मुख्यमंत्र्यांनी दिले 
1753, क्रांतिगुरु लहुजी वस्ताद साळवे यांची आज जयंती यानिमित्ताने त्यांना विनम्र अभिवादन 
1754, आज अंतिम लढतीत अगदी शेवटच्या क्षणी नाशिकचे पैलवान हर्षवर्धन सदगीर यांनी मुसंडी मारून महाराष्ट्र केसरीची गदा खेचून आणली विजयी पैलवान हर्षवर्धन सदगीर यांचे मनःपूर्वक अभिनंदन लातूरचे पैलवान शैलेश शेळके यांनीदेखील चांगली झुंज दिली त्यांचेदेखील उपविजेता ठरल्याबद्दल अभिनंदन 
1755, शिवस्वराज्य यात्रा टप्पा दुसरा दि ऑगस्ट च्या शिवस्वराज्य यात्रेला किनवट नांदेड येथून उत्स्फर्त प्रतिसाद शिवस्वराज्ययात्रा 
1756, आज संतश्रेष्ठ श्री ज्ञानेश्वर महाराजांच्या पालखीचे प्रस्थान सोहळ्यात सहभागी होत ज्ञानोबा माऊली तुकाराम या सुरात सूर मिसळून वारकऱ्यांसमवेत टाळ वाजवत माऊलींचे वंशपरंपरागत चोपदार ह भ प श्री रामभाऊ चोपदार यांच्याबरोबर फुगडी खेळत विठुनामाचा गजर करत आनंद घेतला 
1757, ‘न भुतो न भविष्यती‘ अशा महापुराच्या संकटातून ग्रामीण व शहरी जनतेला बाहेर काढण्यासाठी त्यांच्या नुकसानाची योग्य भरपाई करण्यासाठी बाधितांचे पुनर्वसन करण्यासाठी मूलभूत सोयीसुविधा पुनर्स्थापित होण्यासाठी राज्य शासनाने युद्धपातळीवर प्रयत्न करावेत अशी विनंती मुख्यमंत्र्यांना केली 
1758, भारतीय संविधानाचे निर्माते महामानव भारतरत्न डॉ बाबासाहेब आंबेडकर यांना विनम्र अभिवादन धम्मचक्र प्रवर्तनदिनाच्या खूप खूप हार्दिक शुभेच्छा 
1759, सांगली जिल्ह्यातील माडग्याळ तालुक्यातील व्हसपेठ ते चडचड रस्ताच्या कामाचे भूमिपूजन केले लवकरात लवकर हा रस्ता नागरिकांसाठी खुला होईल 
1760, मुंबई घाटकोपर पूर्व येथे चे अध्यक्ष आदरणीय खा साहेबांच्या वाढदिवसानिमित्त राष्ट्रवादी चषक या क्रिकेट सामन्यांचे मुंबई मनपातील राष्ट्रवादीच्या गटनेत्या नगरसेविका सौ यांनी आयोजन केले काल येथे उपस्थित राहून सामन्यांचा आनंद घेतला 
1761, स्वत्व विसरून जगाच्या कल्याणासाठी काम करणे हीच महाराष्ट्राच्या संतांची शिकवण आहे वारकऱ्यांच्या सुरक्षितते साठी आषाढी एकादकशीस पंढरपूरला न जाता आपल्याच घरी विठ्ठलाची पूजा करण्याचस मा मुख्यमंत्री जी यांचा निर्णय म्हणजे संत शिकवण अवलंबणे आहे 
1762, स्वरतीर्थ सुधीर फडके यांच्या जन्मशताब्दीनिमित्त कोल्हापुरातील गायन समाज देवल कल्ब यांच्यावतीने गायन स्पर्धा संपन्न झाली या स्पर्धेतील विजेत्यांना गायक श्रीधर फडके क्लबचे श्रीकांत डिग्रजकर चारू जोशी यांच्या उपस्थितीत पारितोषिक प्रदान केले 
1763, सामाजिक प्रश्नांची जाण ठेवणारं सर्वांचं लाडकं व्यक्तिमत्त्व आणि महाराष्ट्राचे माजी उपमुख्यमंत्री लोकनेते दिवंगत आर आर आबा पाटील यांच्या पुण्यतिथीनिमित्त आज अंजनीत त्यांच्या समाधी स्थळाचं दर्शन घेतलं आणि आदरांजली वाहिली त्यांच्या कार्याला विचारांना वंदन केलं 
1764, गुजरात आणि हिमाचल प्रदेशमधील मतदारांनी भाजपला दिलेला कौल हा मा पंतप्रधान श्री नरेंद्र मोदीजी यांच्या नेतृत्वावर दाखविलेला सार्थ विश्वास आहे विकास आणि विश्वासाच्या राजकारणाला जनतेने दिलेली ही पावती आहे 
1765, युपीएससीच्या परीक्षेत महाराष्ट्राची सुकन्या सृष्टी जयंत देशमुख हिने देशातून पाचवा क्रमांक पटकावत उत्तम यश संपादित केले आहे आम्हाला तुझा अभिमान आहे सृष्टी पुढील वाटचालीसाठी अनेक शुभेच्छा 
1766, प्रत्येक सज्ञान नागरिकाला भारतीय संविधानाने मतदानाचा समान हक्क प्रदान केला आहे मतदानाबाबत लोकांमध्ये विशेषतः तरुणाईच्या मनात कर्तव्यभावना निर्माण करून प्रोत्साहित करणे अावश्यक आहे सर्वांना राष्ट्रीय मतदार दिनाच्या शुभेच्छा 
1767, च्या अंबाला हवाई तळावर राफेलची जबरदस्त लँडिंग 
1768, महाराष्ट्र लोकसेवा आयोगाच्या एमपीएससी परीक्षेत यश मिळालेल्या विद्यार्थ्यांना पुष्पगुच्छ प्रदान करून त्यांचं मनःपूर्वक अभिनंदन केलं आणि पुढच्या यशस्वी वाटचालीसाठी शुभेच्छा दिल्या 
1769, तो काळ वेगळाच होता अनेक बाजूंनी टीका होत होती ते आव्हान चव्हाण साहेबांनी पेललं त्यात राम प्रधान यांची उत्तम साथ त्यांना मिळाली प्रधान यांनी आंतरराष्ट्रीय पातळीवर वाणिज्य विषयक संघटनेतही काम केले आठ वर्षांपेक्षा अधिक काळ योगदान देत जगातील अनेक देशांशी सुसंवाद प्रस्थापित केला 
1770, भाजपचे ज्येष्ठ नेते यांची महाराष्ट्र शासनाच्या पुनर्वसन प्राधिकरण आणि सनियंत्रण समितीच्या उपाध्यक्षपदी नियुक्ती झाल्याबद्दल त्यांचे मन पुर्वक अभिनंदन 
1771, फळबागा जळू नयेत यासाठी मध्ये हजार रुपये प्रति हेक्टरी अनुदान केंद्र शासनातर्फे देण्यात आले होते त्याच धर्तीवर आताही अनुदान मिळावे ही मागणी मांडली मे रोजी आचारसंहिता संपल्यावर मुख्यमंत्री केंद्र शासनाकडे पाठपुरावा करतील असे आश्वासन मिळाले 
1772, गणेश चतुर्थीच्या आपणा सर्वांना हार्दिक शुभेच्छा पेपर गणेशाने यावर्षी पासून पर्यावरण व श्रध्दा या दोहोंची सहकुटुंब सांगड घातली 
1773, पुणे मुंबई ठाणे व इतर शहरांतील युवक कॉंग्रेस व कॉंग्रेस पक्षाच्या इतरही सर्व पदाधिकारी व कार्यकर्त्यांना मी आवाहन करतो की पुण्यात प्रदेश युवक कॉंग्रेसचे सरचिटणीस मानस पगार यांच्या पुढाकाराने सुरु झालेल्या या उपक्रमाप्रमाणे आपणही करोना वायरस च्या संकटात जनतेच्या सेवेशी रहावे 
1774, पुण्यश्लोक अहिल्याबाई होळकर यांची आज जयंती त्यांच्या स्मृतीस विनम्र अभिवादन 
1775, सतीची अनिष्ट प्रथा अंधश्रद्धा व दुष्ट प्रथा बालविवाह जातीवाद बंद करण्यासाठी पुढाकार घेणारे महान समाजसुधारक राजा राममोहन रॉय यांची आज जयंती यानिमित्ताने त्यांच्या स्मृतींना विनम्र अभिवादन 
1776, आपले शब्द नेहमीच प्रेरणा देतात जी आपले मन पूर्वक आभार 
1777, राज्यसभा निवडणुकीसाठी मा छत्रपती उदयनराजे भोसलेजी आणि केंद्रीय मंत्री रामदास आठवलेजी यांना महाराष्ट्रातून उमेदवारी जाहीर झाल्याबद्दल त्यांचे हार्दिक अभिनंदन मी त्यांना सुयश चिंतितो 
1778, ने बारामतीत शासकीय वैद्यकीय महाविद्यालयाला मान्यता दिल्यानं वैद्यकीय शिक्षण घेण्यास इच्छुक विद्यार्थ्यांना मोठा लाभ होईल याचा आनंद वाटतो हरित इमारतीच्या संकल्पनेतून बांधण्यात आलेल्या या महाविद्यालयाची विद्यार्थ्यांच्या जडण घडणीत भूमिका मोलाची ठरेल 
1779, गेल्या तीन महिन्यांपासून राज्यातल्या पोलीसांनी संवेदनशीलता दाखवत कोरोना नियंत्रणासाठी निरंतर काम करुन पोलीस विभागाची प्रतिमा उंचावली आहे यापुढच्या काळातही सर्वांच्या एकजुटीतून कोरोनाला राज्यासह देशातून हद्दपार करण्याचा निर्धार करूया 
1780, संविधानावर ज्येष्ठ वकिलांना ऐकणे ही पर्वणी असायची चिंचवड दि जानेवारी 
1781, या कालावधीतील शेतकऱ्यांना न्याय मिळवून दिला आता पुनर्गठीत नंतरच्या व च्या आधीच्या शेतकऱ्यांसाठी काँग्रेस लढा देईल 
